reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
J0135270061,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-sapphire-j0135270021,,Jaquet Droz,,Timepieces,Tourbillon Skelet Sapphire,,,,,,,,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,,To 3 bar (30 meters),,Transparent sapphire dial and blue sapphire base. Indexes and dial fixing axes in 18-karat white gold with black treatment. ,,Rubber strap,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment",7 days,"21,600 v.p.h.",30 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Transparent sapphire dial and blue sapphire base. 
Sapphire case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42 mm. Customized engraving on the oscillating weight.",
J0135270231,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-sapphire-j0135270021,,Jaquet Droz,,Timepieces,Tourbillon Skelet Sapphire,,,,,,,,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,,To 3 bar (30 meters),,Transparent sapphire dial and green sapphire base. Indexes and dial fixing axes in 18-karat white gold with black treatment. ,,Rubber strap,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Transparent sapphire dial and green sapphire base. 
Sapphire case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42 mm.",
J0327330031,https://www.jaquet-droz.com/en/watches/automata/dragon-automaton-j0327370011,,Jaquet Droz,,Timepieces,Dragon Automaton,,,,,,,,,"Hand-engraved 18-karat red gold case. Diameter 43 mm. Height 16.96 mm. Customization, identified as a unique piece by a hand-engraving on the case-back. ",,,"Hand-engraved 18-karat red gold case. Diameter 43 mm. Height 16.96 mm. Customization, identified as a unique piece by a hand-engraving on the case-back. ",,,"Hand-engraved 18-karat red gold case. Diameter 43 mm. Height 16.96 mm. Customization, identified as a unique piece by a hand-engraving on the case-back. ",,,,To 3 bar (30 meters),,White mother-of-pearl openworked dial and subdial. Hand-engraved dragon elements in 18-karat red gold. Hand-painted steel eye and tongue. Labradorite ball. ,,Red rubber,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 6150, self-winding mechanical movement, silicon balance spring and pallet horns, flat bridges, 18-karat red gold oscillating weight with JH signature and black treatment. Automaton with animation of different parts of the dragon, push-button automaton triggering mechanism. ","Jaquet Droz 6150, self-winding mechanical movement, silicon balance spring and pallet horns, flat bridges, 18-karat red gold oscillating weight with JH signature and black treatment. Automaton with animation of different parts of the dragon, push-button automaton triggering mechanism. ",38 hours,"21,600 v.p.h.",78 rubies for the automaton movement + 29 rubies for the hour and minute movement,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","White mother-of-pearl openworked dial and subdial. Hand-engraved dragon appliques in 18-karat red gold. Hand-engraved 18-karat red gold case. Hand-wound mechanical automaton movement with push-button triggering mechanism. Mechanical automaton with 9 different animated elements of the dragon. The animation cycle lasts 10 to 15 seconds. Power reserve of 38 hours. Diameter 43 mm, Unique piece.",
J0327330041,https://www.jaquet-droz.com/en/watches/automata/dragon-automaton-j0327370011,,Jaquet Droz,,Timepieces,Dragon Automaton,,,,,,,,,"18-karat red gold case. Diameter 43 mm. Height 16.96 mm. Customization, identified as a unique piece by a hand-engraving on the case-back. ",,,"18-karat red gold case. Diameter 43 mm. Height 16.96 mm. Customization, identified as a unique piece by a hand-engraving on the case-back. ",,,"18-karat red gold case. Diameter 43 mm. Height 16.96 mm. Customization, identified as a unique piece by a hand-engraving on the case-back. ",,,,To 3 bar (30 meters),,Onyx openworked dial and subdial. Hand-engraved dragon elements in 18-karat red gold. Hand-painted steel eye and tongue. Labradorite ball. ,,Black rubber,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 6150, self-winding mechanical movement, silicon balance spring and pallet horns, flat bridges, 18-karat red gold oscillating weight with JH signature and black treatment. Automaton with animation of different parts of the dragon, push-button automaton triggering mechanism. ","Jaquet Droz 6150, self-winding mechanical movement, silicon balance spring and pallet horns, flat bridges, 18-karat red gold oscillating weight with JH signature and black treatment. Automaton with animation of different parts of the dragon, push-button automaton triggering mechanism. ",38 hours,"21,600 v.p.h.",78 rubies for the automaton movement + 29 rubies for the hour and minute movement,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Openworked black onyx dial. Hand-engraved dragon appliques in 18-karat red gold. 18-karat red gold case. Hand-wound mechanical automaton movement with push-button triggering mechanism. Mechanical automaton with 9 different animated elements of the dragon. The animation cycle lasts 10 to 15 seconds. Power reserve of 38 hours. Diameter 43 mm, Unique piece.",
J0327330061,https://www.jaquet-droz.com/en/watches/automata/dragon-automaton-j0327370011,,Jaquet Droz,,Timepieces,Dragon Automaton,,,,,,,,,"18-karat red gold case. Diameter 43 mm. Height 16.96 mm. Customization, identified as a unique piece by a hand-engraving on the case-back. ",,,"18-karat red gold case. Diameter 43 mm. Height 16.96 mm. Customization, identified as a unique piece by a hand-engraving on the case-back. ",,,"18-karat red gold case. Diameter 43 mm. Height 16.96 mm. Customization, identified as a unique piece by a hand-engraving on the case-back. ",,,,To 3 bar (30 meters),,Openworked dial and centre in lapis lazuli. Hand-engraved dragon elements in 18-karat red gold. Hand-painted steel eye and tongue. Labradorite ball. ,,Blue rubber,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 6150, self-winding mechanical movement, silicon balance spring and pallet horns, flat bridges, 18-karat red gold oscillating weight with JH signature and black treatment. Automaton with animation of different parts of the dragon, push-button automaton triggering mechanism. ","Jaquet Droz 6150, self-winding mechanical movement, silicon balance spring and pallet horns, flat bridges, 18-karat red gold oscillating weight with JH signature and black treatment. Automaton with animation of different parts of the dragon, push-button automaton triggering mechanism. ",38 hours,"21,600 v.p.h.",78 rubies for the automaton movement + 29 rubies for the hour and minute movement,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Openworked dial in lapis lazuli. Hand-engraved dragon appliques in 18-karat red gold. 18-karat red gold case. Hand-wound mechanical automaton movement with push-button triggering mechanism. Mechanical automaton with 9 different animated elements of the dragon: the crest moves, the mouth opens, the tongue comes out, the eye opens and closes, the dorsal section and tail undulate, the dragon's foot moves up and down towards the ball, the ball spins on itself. The animation cycle lasts 10 to 15 seconds. Power reserve of 38 hours. Diameter 43 mm, Unique piece.",
J0327370021,https://www.jaquet-droz.com/en/watches/automata/dragon-automaton-j0327370011,,Jaquet Droz,,Timepieces,Dragon Automaton,,,,,,,,,"Sapphire case. Diameter Ø 45 mm. Height 18 mm. Customization, identified as a unique piece by an engraving on the movement bridges. ",,,"Sapphire case. Diameter Ø 45 mm. Height 18 mm. Customization, identified as a unique piece by an engraving on the movement bridges. ",,,"Sapphire case. Diameter Ø 45 mm. Height 18 mm. Customization, identified as a unique piece by an engraving on the movement bridges. ",,,,To 3 bar (30 meters),,Openworked dial and centre in lapis lazuli. Hand-engraved dragon elements in 18-karat white gold. Hand-painted steel eye and tongue. Labradorite ball. ,,Blue rubber,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 6150, self-winding mechanical movement, silicon balance spring and pallet horns, flat bridges, 18-karat white gold oscillating weight with JH signature and black treatment. Automaton with animation of different parts of the dragon, push-button automaton triggering mechanism. ","Jaquet Droz 6150, self-winding mechanical movement, silicon balance spring and pallet horns, flat bridges, 18-karat white gold oscillating weight with JH signature and black treatment. Automaton with animation of different parts of the dragon, push-button automaton triggering mechanism. ",38 hours,"21,600 v.p.h.",78 rubies for the automaton movement + 29 rubies for the hour and minute movement,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Openworked dial in lapis-lazuli. Hand-engraved dragon appliques in 18-karat white gold. Sapphire case. Hand-wound mechanical automaton movement with push-button triggering mechanism. Mechanical automaton with 9 different animated elements of the dragon: the crest moves, the mouth opens, the tongue comes out, the eye opens and closes, the dorsal section and tail undulate, the dragon's foot moves up and down towards the ball, the ball spins on itself. The animation cycle lasts 10 to 15 seconds. Power reserve of 38 hours. Diameter 45 mm, Unique piece.",
J0327330011,https://www.jaquet-droz.com/en/watches/automata/dragon-automaton-j0327370011,,Jaquet Droz,,Timepieces,Dragon Automaton,,,,,,,,,"Hand-engraved 18-karat red gold case, with black treatment in the engraving. Diameter 43 mm. Height 16.96 mm. Customization, identified as a unique piece by a hand-engraving on the case-back. ",,,"Hand-engraved 18-karat red gold case, with black treatment in the engraving. Diameter 43 mm. Height 16.96 mm. Customization, identified as a unique piece by a hand-engraving on the case-back. ",,,"Hand-engraved 18-karat red gold case, with black treatment in the engraving. Diameter 43 mm. Height 16.96 mm. Customization, identified as a unique piece by a hand-engraving on the case-back. ",,,,To 3 bar (30 meters),,"Onyx dial and subdial, mountain decor in 18-karat white gold and hand-painted, engraved mother-of-pearl. Dragon elements in hand-engraved 18-karat red gold with gray treatment. Hand-painted steel eye and tongue. Labradorite ball. ",,Rolled-edge by hand black alligator,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 6150, self-winding mechanical movement, silicon balance spring and pallet horns, flat bridges, 18-karat red gold oscillating weight with signature JH and black treatment. Automaton with animation of different parts of the dragon, push-button automaton triggering mechanism. ","Jaquet Droz 6150, self-winding mechanical movement, silicon balance spring and pallet horns, flat bridges, 18-karat red gold oscillating weight with signature JH and black treatment. Automaton with animation of different parts of the dragon, push-button automaton triggering mechanism. ",38 hours,"21,600 v.p.h.",78 rubies for the automaton movement + 29 rubies for the hour and minute movement,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Onyx dial and subdial, mountain decor in 18-karat white gold, hand-engraved and hand-painted mother-of-pearl. Hand-engraved dragon appliques in 18-karat red gold. Hand-engraved 18-karat red gold case, with black treatment in the engraving. Hand-wound mechanical automaton movement with push-button triggering mechanism. Mechanical automaton with 9 different animated elements of the dragon. The animation cycle lasts 10 to 15 seconds. Power reserve of 38 hours. Diameter 43 mm, Unique piece.",
J031033202,https://www.jaquet-droz.com/en/watches/automata/bird-repeater-300th-anniversary-edition-j031033211,,Jaquet Droz,,Timepieces,Bird Repeater,,,,,,,,,"18-carat red gold
Height 18.70 mm, hand-engraved middle and back
Individual limited serial number engraved on the case-back
",,,"18-carat red gold
Height 18.70 mm, hand-engraved middle and back
Individual limited serial number engraved on the case-back
",,,"18-carat red gold
Height 18.70 mm, hand-engraved middle and back
Individual limited serial number engraved on the case-back
",,,,No,,"Hand-engraved and hand-patinated gold dial, black onyx subdial. Hand-engraved and hand-patinated birds.
Dial signed Jaquet Droz by hand
",,"Rolled-edge hand-made black alligator leather strap. Alligator lining.
",Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz RMA88, minute repeater hand-winding mechanical movement, single barrel, hand-engraved bridges
","Jaquet Droz RMA88, minute repeater hand-winding mechanical movement, single barrel, hand-engraved bridges
",48 hours,"18,000 v.p.h","69 jewels
","Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Hand-engraved and hand-patinated gold dial, black onyx subdial. Hand-engraved and hand-patinated automaton birds offering 8 distinct animations.. 18-carat red gold case. Minute repeater, hand-winding mechanical movement. Power reserve of 48 hours. 47 mm diameter.",
J031034203,https://www.jaquet-droz.com/en/watches/automata/bird-repeater-300th-anniversary-edition-j031033211,,Jaquet Droz,,Timepieces,Bird Repeater Openwork,,,,,,,,,"18-carat white gold
Height 18.70 mm 
Individual limited serial number engraved on the case-back
",,,"18-carat white gold
Height 18.70 mm 
Individual limited serial number engraved on the case-back
",,,"18-carat white gold
Height 18.70 mm 
Individual limited serial number engraved on the case-back
",,,,No,,"Sapphire, black onyx subdial. Hand-engraved and hand-painted birds
",,"Rolled-edge hand-made black alligator leather strap. Alligator lining.
",Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz RMA88, minute repeater hand-winding mechanical movement, single barrel.

","Jaquet Droz RMA88, minute repeater hand-winding mechanical movement, single barrel.

",48 hours,"18,000 v.p.h","69 jewels
","Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Sapphire dial, black onyx subdial. Hand-engraved and hand-painted birds. 18-carat white gold case. Minute repeater, hand-winding mechanical movement. Power reserve of 48 hours. 47 mm diameter.",
J031034205,https://www.jaquet-droz.com/en/watches/automata/bird-repeater-300th-anniversary-edition-j031033211,,Jaquet Droz,,Timepieces,Bird Repeater Alpine View,,,,,,,,,"18-carat white gold case, hand-engraved horns, middle and back
Diameter 47 mm
Height 18.70 mm
Individual limited serial number engraved on the case-back

",,,"18-carat white gold case, hand-engraved horns, middle and back
Diameter 47 mm
Height 18.70 mm
Individual limited serial number engraved on the case-back

",,,"18-carat white gold case, hand-engraved horns, middle and back
Diameter 47 mm
Height 18.70 mm
Individual limited serial number engraved on the case-back

",,,,No,,"Hand-engraved and hand-painted white mother-of-pearl dial and subdial
Hand-engraved and hand-painted 18-carat white gold birds",,Rolled-edge hand-made black alligator leather strap with black alligator leather lining and black stitches,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz RMA88, minute repeater hand-winding mechanical movement, single barrel","Jaquet Droz RMA88, minute repeater hand-winding mechanical movement, single barrel",48 hours,"18,000 v.p.h.",69 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Hand-engraved and hand-painted white mother-of-pearl dial and subdial.
Hand-engraved and hand-painted 18-carat white gold automaton birds. 
18-carat white gold case. 
Minute repeater, hand-winding mechanical movement. 
Power reserve of 48 hours.
Diameter 47 mm.
Numerus Clausus of 8.",
J031033206,https://www.jaquet-droz.com/en/watches/automata/bird-repeater-300th-anniversary-edition-j031033211,,Jaquet Droz,,Timepieces,Bird Repeater Fall of the Rhine,,,,,,,,,18-karat red gold case and applied ring Diameter Ø 47.5 mm Height 18.93 mm Individual limited serial number engraved on the case-back,,,18-karat red gold case and applied ring Diameter Ø 47.5 mm Height 18.93 mm Individual limited serial number engraved on the case-back,,,18-karat red gold case and applied ring Diameter Ø 47.5 mm Height 18.93 mm Individual limited serial number engraved on the case-back,,,,No,,"18-karat red gold dial Hand-engraved and hand-painted, mother-of-pearl subdial. Hand-engraved and hand-painted 18-karat gold birds",,Rolled-edge hand-made brown alligator leather strap with brown alligator leather lining,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz RMA88, minute repeater, hand-winding mechanical movement, single barrel","Jaquet Droz RMA88, minute repeater, hand-winding mechanical movement, single barrel",48 hours,"18,000 v.p.h.",69 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Hand-engraved and hand-painted white mother-of-pearl dial. 
18-karat red gold case and applied ring. 
Hand-engraved and hand-painted 18-karat gold birds. 
Minute repeater, hand-winding mechanical movement. 
Power reserve of 48 hours. 
Diameter 47 mm. 
Numerus Clausus of 8.",
J031034210,https://www.jaquet-droz.com/en/watches/automata/bird-repeater-300th-anniversary-edition-j031033211,,Jaquet Droz,,Timepieces,Bird Repeater Falcon,,,,,,,,,18-karat white gold applied ring and case Diameter 47 mm Height 18.70 mm Individual number engraved on the case-back,,,18-karat white gold applied ring and case Diameter 47 mm Height 18.70 mm Individual number engraved on the case-back,,,18-karat white gold applied ring and case Diameter 47 mm Height 18.70 mm Individual number engraved on the case-back,,,,No,,"18-karat yellow gold dial White mother-of-pearl, black onyx subdial Hand-engraved and hand-painted applied decoration in 18-karat yellow gold",,Rolled-edge hand-made brown alligator leather strap with brown alligator leather lining,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz RMA88, minute repeater, hand-winding mechanical movement, single barrel Automaton animation with birds, hatching egg and mirage","Jaquet Droz RMA88, minute repeater, hand-winding mechanical movement, single barrel Automaton animation with birds, hatching egg and mirage",48 hours,"18,000 v.p.h",69 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Hand-engraved and hand-painted 18-karat yellow gold and white mother-of-pearl dial, black onyx subdial. 
18-karat white gold case and applied ring. 
Applied decoration in 18-karat yellow gold and birds in hand-engraved and hand-painted 18-karat white gold. 
Mechanical automaton with animation featuring birds, hatching egg and mirage. 
Minute repeater, hand-wound mechanical movement. 
Power reserve of 48 hours. 
Diameter 47 mm. 
Unique piece.",
J031533240,https://www.jaquet-droz.com/en/watches/automata/the-charming-bird,,Jaquet Droz,,Timepieces,Charming Bird,,,,,,,,,"18-carat red gold case
Height 1: 15.75 mm
Height 2: 23 mm
Individual limited serial number engraved on the case-back
",,,"18-carat red gold case
Height 1: 15.75 mm
Height 2: 23 mm
Individual limited serial number engraved on the case-back
",,,"18-carat red gold case
Height 1: 15.75 mm
Height 2: 23 mm
Individual limited serial number engraved on the case-back
",,,,No,,"Sapphire crystal dial with platinum Roman numerals 
",,"Rolled-edge hand made black alligator leather strap with black alligator leather lining and black stitches
",Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 615, self-winding mechanical movement, single barrel. Balance wheel with regulator screw and silicon spring. Platinum oscillating weight
","Jaquet Droz 615, self-winding mechanical movement, single barrel. Balance wheel with regulator screw and silicon spring. Platinum oscillating weight
",38 hours,"21,600 v.p.h","29 jewels
","Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Sapphire dial.
18-carat red gold case.
Singing bird automaton movement, hand-winding mechanical movement and push-button automaton triggering mechanism.
Self-winding mechanical movement.
Sapphire whistle system.
Power reserve of 38 hours.
Diameter 47 mm.
Numerus Clausus of 28.",
J031533200,https://www.jaquet-droz.com/en/watches/automata/the-charming-bird,,Jaquet Droz,,Timepieces,Charming Bird,,,,,,,,,18-carat red gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,18-carat red gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,18-carat red gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,,No,,"Hand-engraved and hand-painted white mother-of-pearl dial. 18-carat red gold ring, onyx hours and minutes subdial",,Rolled-edge hand-made black alligator leather strap with black alligator leather lining,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 615, self-winding mechanical movement, silicon balance spring and pallet horns, platinum oscillating weight.","Jaquet Droz 615, self-winding mechanical movement, silicon balance spring and pallet horns, platinum oscillating weight.",38 hours,"21,600 v.p.h.","Caliber 29 jewels, automaton 15 jewels","Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Hand-engraved and hand-painted white mother-of-pearl dial. Onyx subdial. 
18-carat red gold case and applied ring. 
Singing bird automaton movement, hand-winding mechanical movement and push-button automaton triggering mechanism. Sapphire whistle system. 
Hours and minutes self-winding movement. 
Power reserve of 38 hours. 
Diameter 47 mm. 
Numerus Clausus of 8. AUTOMATON Singing bird automaton movement, hand-winding mechanical movement and push-button automaton triggering mechanism. Sapphire whistle system. Hand-engraved platinum.",
J031534200,https://www.jaquet-droz.com/en/watches/automata/the-charming-bird,,Jaquet Droz,,Timepieces,Charming Bird,,,,,,,,,18-carat white gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,18-carat white gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,18-carat white gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,,No,,"Hand-engraved and hand-painted white mother-of-pearl dial. 18-carat white gold ring, onyx hours and minutes subdial",,Rolled-edge hand-made black alligator leather strap with black alligator leather lining,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 615, self-winding mechanical movement, silicon balance spring and pallet horns, platinum oscillating weight.","Jaquet Droz 615, self-winding mechanical movement, silicon balance spring and pallet horns, platinum oscillating weight.",38 hours,"21,600 v.p.h.","Caliber 29 jewels, automaton 15 jewels","Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Hand-engraved and hand-painted white mother-of-pearl dial. Onyx subdial.
18-carat white gold case and applied ring.
Singing bird automaton movement, hand-winding mechanical movement and push-button automaton triggering mechanism. Sapphire whistle system.
Hours and minutes self-winding movement.
Power reserve of 38 hours.
Diameter 47 mm.
Numerus Clausus of 8. AUTOMATON Singing bird automaton movement, hand-winding mechanical movement and push-button automaton triggering mechanism. Sapphire whistle system. Hand-engraved platinum.",
J031533202,https://www.jaquet-droz.com/en/watches/automata/the-charming-bird,,Jaquet Droz,,Timepieces,Charming Bird,,,,,,,,,18-karat red gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,18-karat red gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,18-karat red gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,,No,,Ivory Grand Feu enamel dial,,Rolled-edge hand-made brown alligator,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Hand-winding mechanical automaton movement with push-button 
triggering mechanism. Hand-engraved singing bird. Sapphire whistle system.
Hand-winding mechanical automaton movement with push-button 
triggering mechanism. Hand-engraved singing bird. Sapphire whistle system.","Hand-winding mechanical automaton movement with push-button 
triggering mechanism. Hand-engraved singing bird. Sapphire whistle system.
Hand-winding mechanical automaton movement with push-button 
triggering mechanism. Hand-engraved singing bird. Sapphire whistle system.",38 hours,"21,600 v.p.h.","Caliber 29 jewels, automaton 15 jewels","Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Ivory Grand Feu enamel dial. 
18-karat red gold case. 
Hand-winding mechanical automaton movement with push-button triggering mechanism. Hand-engraved and hand-painted singing bird. Sapphire whistle system. 
Self-winding mechanical hours and minutes movement. 
Power reserve of 38 hours. 
Diameter 47 mm. 
Numerus Clausus of 8.",
J031534203,https://www.jaquet-droz.com/en/watches/automata/the-charming-bird,,Jaquet Droz,,Timepieces,Charming Bird,,,,,,,,,18-karat white gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,18-karat white gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,18-karat white gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,,No,,Ivory Grand Feu enamel dial,,Rolled-edge hand-made dark-blue alligator,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Hand-winding mechanical automaton movement with push-button 
triggering mechanism. Hand-engraved singing bird. Sapphire whistle system.
Jaquet Droz 615, self-winding mechanical movement, silicon balance spring and pallet horns, platinum oscillating weight.","Hand-winding mechanical automaton movement with push-button 
triggering mechanism. Hand-engraved singing bird. Sapphire whistle system.
Jaquet Droz 615, self-winding mechanical movement, silicon balance spring and pallet horns, platinum oscillating weight.",38 hours,"21,600 v.p.h.","Caliber 29 jewels, automaton 15 jewels","Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Ivory Grand Feu enamel dial. 
18-karat white gold case. 
Hand-winding mechanical automaton movement with push-button triggering mechanism. Hand-engraved and hand-painted singing bird. Sapphire whistle system. 
Self-winding mechanical hours and minutes movement. 
Power reserve of 38 hours. 
Diameter 47 mm. 
Numerus Clausus of 8.",
J032534270,https://www.jaquet-droz.com/en/watches/automata/loving-butterfly-automaton-j032533275,,Jaquet Droz,,Timepieces,Loving Butterfly,,,,,,,,,18-karat white gold case Diameter Ø 43 mm Height 16.63 mm Individual limited serial number engraved on the case-back,,,18-karat white gold case Diameter Ø 43 mm Height 16.63 mm Individual limited serial number engraved on the case-back,,,18-karat white gold case Diameter Ø 43 mm Height 16.63 mm Individual limited serial number engraved on the case-back,,,,3 bar (30 meters),,"Black mother-of-pearl dial with 18-karat white gold decorations 18-karat white gold appliques of cherub, chariot and butterfly body Butterfly wings in 18-karat white gold Chariot wheel in 18-karat white gold",,Rolled-edge hand-made black alligator strap,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 2653 AT1, self-winding mechanical movement, silicon balance spring and pallet horns, double barrel, flat bridges, 22-karat white gold oscillating weight. 
Automaton with mechanism for moving the butterfly's wings and the wheel of the chariot, hand-winding automaton, with crown push-button triggering mechanism, triple barrel","Jaquet Droz 2653 AT1, self-winding mechanical movement, silicon balance spring and pallet horns, double barrel, flat bridges, 22-karat white gold oscillating weight. 
Automaton with mechanism for moving the butterfly's wings and the wheel of the chariot, hand-winding automaton, with crown push-button triggering mechanism, triple barrel",68 hours,"28,800 v.p.h",57 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Black mother-of-pearl dial with hand-engraved 18-karat white gold appliques. 
18-karat white gold case. 
Hand-winding mechanical automaton movement with push-button triggering mechanism moving the butterfly's wings and wheel of the chariot. 
Self-winding mechanical hours and minutes movement. 
Power reserve of 68 hours. 
Diameter 43 mm. 
Numerus Clausus of 28.",
